101
1;Mickey Mouse;Walt Disney;Steamboat Willie;Um rato antropomorfico alegre e aventureiro, considerado o mascote da Walt Disney Company;
35;Vegeta;Akira Toriyama;Dragon Ball;O principe dos Saiyajins, rival e eventual aliado de Goku, conhecido por sua ambicao e orgulho;
36;Naruto Uzumaki;Masashi Kishimoto;Naruto;Um ninja jovem e determinado que sonha em se tornar o Hokage, o lider de sua vila;
37;Sasuke Uchiha;Masashi Kishimoto;Naruto;Um ninja talentoso e rival de Naruto, que busca vinganca contra seu irmao Itachi;
38;Sakura Haruno;Masashi Kishimoto;Naruto;Uma ninja medica e membro da equipe de Naruto, conhecida por sua forca e inteligencia;
39;Tintim;Herge;The Adventures of Tintin;Um jovem reporter e aventureiro que viaja pelo mundo solucionando misterios;
40;Capitao Haddock;Herge;The Adventures of Tintin;Um marinheiro robusto e amigo leal de Tintim, conhecido por sua coragem e seu amor por whisky;
41;Asterix;Rene Goscinny;Asterix;Um guerreiro gaules pequeno mas corajoso, que luta contra os romanos com a ajuda de uma pocao magica;
42;Obelix;Rene Goscinny;Asterix;O melhor amigo de Asterix, um gigante gentil que caiu em um caldeirao de pocao magica quando bebe, ganhando forca sobre-humana;
43;Jerry;Chuck Jones;Tom and Jerry;Um pequeno rato marrom que sempre consegue escapar das tentativas de captura do gato Tom;
44;Tom;Chuck Jones;Tom and Jerry;Um gato cinza que esta constantemente tentando capturar Jerry, mas geralmente falha de maneira comica;
45;Pica-Pau;Walter Lantz;Woody Woodpecker;Um pica-pau travesso e brincalhao, conhecido por seu riso caracteristico e suas travessuras;
46;Pateta;Walt Disney;Goofy;Um cao antropomorfico atrapalhado e bonachao, amigo de Mickey Mouse e Donald Duck;
47;Penelope Pitstop;William Hanna;Wacky Races;Uma piloto de corridas corajosa e engenhosa, sempre escapando das armadilhas do vilao Dick Dastardly;
48;Dick Dastardly;William Hanna;Wacky Races;Um vilao trapaceiro que tenta vencer as corridas de qualquer maneira, sempre acompanhado por seu cao Muttley;
49;Muttley;William Hanna;Wacky Races;O cao assistente de Dick Dastardly, conhecido por seu riso unico e sua habilidade de voar;
50;Johnny Bravo;Van Partible;Johnny Bravo;Um jovem narcisista e musculoso, constantemente tentando conquistar mulheres, mas sempre falhando;
51;Dexter;Genndy Tartakovsky;Dexter's Laboratory;Um jovem genio cientifico que cria invencoes incriveis em seu laboratorio secreto;
52;Samurai Jack;Genndy Tartakovsky;Samurai Jack;Um samurai que viaja no tempo, lutando contra o malvado feiticeiro Aku para voltar ao seu proprio tempo;
53;Aku;Genndy Tartakovsky;Samurai Jack;O principal antagonista de Samurai Jack, um feiticeiro demoniaco que envia Jack para o futuro;
54;Stewie Griffin;Seth MacFarlane;Family Guy;Um bebe extremamente inteligente e malevolo, com planos de dominar o mundo e destruir sua mae, Lois;
55;Brian Griffin;Seth MacFarlane;Family Guy;O cao falante e sofisticado da familia Griffin, melhor amigo de Stewie;
56;Mordecai;J.G. Quintel;Regular Show;Um gaio-azul preguiçoso e sarcastico, sempre envolvido em situacoes bizarras ao lado de seu melhor amigo, Rigby;
57;Rigby;J.G. Quintel;Regular Show;Um guaxinim hiperativo e impulsivo, companheiro de Mordecai em suas aventuras no Parque;
58;Finn;Pendleton Ward;Adventure Time;Um garoto aventureiro que explora o mundo de Ooo ao lado de seu melhor amigo e irmao adotivo, Jake, o cao;
59;Jake;Pendleton Ward;Adventure Time;Um cao magico com a habilidade de mudar de forma e tamanho, melhor amigo e companheiro de Finn;
60;Princess Bubblegum;Pendleton Ward;Adventure Time;A governante inteligente e bondosa do Reino Doce, cientista habilidosa e amiga de Finn e Jake;
61;Ice King;Pendleton Ward;Adventure Time;Um rei solitario com o poder de controlar gelo e neve, obcecado em capturar princesas;
62;Beavis;Mike Judge;Beavis and Butt-Head;Um adolescente idiota e imaturo, conhecido por suas risadas irritantes e sua obsessao por heavy metal;
63;Butt-Head;Mike Judge;Beavis and Butt-Head;O melhor amigo de Beavis, igualmente estupido e imaturo, com uma risada caracteristica e comportamento irresponsavel;
64;Rick Sanchez;Dan Harmon;Rick and Morty;Um cientista brilhante e alcoolatra, avo de Morty, que leva seu neto em aventuras interdimensionais;
65;Morty Smith;Dan Harmon;Rick and Morty;Um adolescente nervoso e inseguro, frequentemente arrastado para as aventuras perigosas de seu avo Rick;
66;Bojack Horseman;Raphael Bob-Waksberg;BoJack Horseman;Um cavalo antropomorfico e ex-estrela de uma sitcom dos anos 90, lutando contra a depressao e tentando redescobrir seu lugar no mundo;
67;Todd Chavez;Raphael Bob-Waksberg;BoJack Horseman;Um jovem sem rumo, melhor amigo de Bojack, conhecido por sua atitude relaxada e ideias absurdas;
68;Princess Carolyn;Raphael Bob-Waksberg;BoJack Horseman;Uma gata antropomorfica, agente de Bojack e sua amiga de longa data, conhecida por sua determinacao e profissionalismo;
69;Mr. Peanutbutter;Raphael Bob-Waksberg;BoJack Horseman;Um labrador amarelo antropomorfico e alegre, rival e amigo de Bojack, famoso por seu otimismo inabalavel;
70;SpongeBob SquarePants;Stephen Hillenburg;SpongeBob SquarePants;Uma esponja do mar otimista e trabalhadora que vive no fundo do oceano na cidade de Fenda do Bikini;
71;Patrick Star;Stephen Hillenburg;SpongeBob SquarePants;Uma estrela-do-mar amigavel e lenta, melhor amigo de Bob Esponja;
72;Squidward Tentacles;Stephen Hillenburg;SpongeBob SquarePants;Um polvo mal-humorado e pretensioso, vizinho e colega de trabalho de Bob Esponja;
73;Mr. Krabs;Stephen Hillenburg;SpongeBob SquarePants;O ganancioso proprietario do Siri Cascudo, restaurante onde Bob Esponja trabalha;
74;Plankton;Stephen Hillenburg;SpongeBob SquarePants;O principal antagonista de Bob Esponja, sempre tentando roubar a receita do hamburguer de siri;
75;Sandy Cheeks;Stephen Hillenburg;SpongeBob SquarePants;Uma esquila cientista e karateca do Texas que vive no fundo do mar em um domo de ar;
76;Larry the Lobster;Stephen Hillenburg;SpongeBob SquarePants;Um lagosta musculoso e fanatico por fitness, que frequenta a academia com Bob Esponja;
77;Mermaid Man;Stephen Hillenburg;SpongeBob SquarePants;Um super-heroi idoso que vive em um asilo, idolatrado por Bob Esponja;
78;Barnacle Boy;Stephen Hillenburg;SpongeBob SquarePants;O fiel companheiro de Mermaid Man, tambem idoso e sempre irritado com as travessuras de Bob Esponja;
79;King Neptune;Stephen Hillenburg;SpongeBob SquarePants;O governante dos mares, um tritao poderoso e respeitado no mundo de Bob Esponja;
80;Dora the Explorer;Chris Gifford;Dora the Explorer;Uma garota aventureira que explora o mundo com a ajuda de seu mapa e seus amigos, sempre ensinando novas palavras e conceitos;
81;Boots;Chris Gifford;Dora the Explorer;O melhor amigo de Dora, um macaco simpatico e brincalhao que a acompanha em suas aventuras;
82;Swiper;Chris Gifford;Dora the Explorer;Um raposo travesso que esta sempre tentando roubar os itens de Dora, mas e sempre impedido por suas palavras magicas;
83;The Map;Chris Gifford;Dora the Explorer;Um mapa falante que ajuda Dora a encontrar o caminho em suas aventuras, fornecendo instrucoes e direcoes;
84;The Backpack;Chris Gifford;Dora the Explorer;Uma mochila falante que carrega os itens essenciais para as aventuras de Dora, sempre pronta para ajudar;
85;Diego Marquez;Chris Gifford;Go, Diego, Go!;O primo de Dora, um jovem aventureiro que resgata animais em perigo com a ajuda de seus amigos;
86;Caillou;Chouette Publishing;Caillou;Um garoto curioso e imaginativo que descobre o mundo ao seu redor, aprendendo licoes importantes com sua familia e amigos;
87;Peppa Pig;Neville Astley;Peppa Pig;Uma porquinha animada que vive com sua familia, adorando brincar e pular em pocas de lama;
88;George Pig;Neville Astley;Peppa Pig;O irmao mais novo de Peppa, um porquinho timido que adora dinossauros;
89;Mummy Pig;Neville Astley;Peppa Pig;A mae de Peppa, uma porquinha carinhosa e responsavel, sempre pronta para ajudar seus filhos;
90;Daddy Pig;Neville Astley;Peppa Pig;O pai de Peppa, um porquinho bem-humorado e desajeitado, que trabalha com mapas e gosta de contar piadas;
91;Suzy Sheep;Neville Astley;Peppa Pig;A melhor amiga de Peppa, uma ovelhinha simpatica que adora brincar de faz de conta;
92;Miss Rabbit;Neville Astley;Peppa Pig;Uma coelha que trabalha em praticamente todos os empregos da cidade, sempre pronta para ajudar;
93;Granny Pig;Neville Astley;Peppa Pig;A avo de Peppa e George, uma porquinha amorosa que adora cuidar do jardim e contar historias;
94;Grandpa Pig;Neville Astley;Peppa Pig;O avo de Peppa e George, um porquinho entusiasmado que ama navegar e cuidar do seu barco;
95;Charlie e Lola;Lauren Child;Charlie and Lola;Charlie e um irmao mais velho paciente e Lola e sua irma caçula curiosa e imaginativa, vivendo diversas aventuras juntos;
96;Ben 10;Man of Action;Ben 10;Um garoto que pode se transformar em diferentes alienigenas usando um dispositivo chamado Omnitrix;
97;Gwen Tennyson;Man of Action;Ben 10;A prima de Ben, uma jovem esperta e habilidosa em magia, que o acompanha em suas aventuras;
98;Kevin Levin;Man of Action;Ben 10;Um ex-inimigo de Ben que se torna seu aliado, capaz de absorver as propriedades de materiais ao seu redor;
99;Vilgax;Man of Action;Ben 10;O principal vilao da serie, um alienigena poderoso e conquistador de planetas, que busca o Omnitrix para seus proprios fins;
100;Edd;Danny Antonucci;Ed, Edd n Eddy;Um dos tres Eds, o mais inteligente e criativo, sempre elaborando planos engenhosos para ganhar dinheiro;
101;Mari;ana;Vini;cius;
